,Livesp,lat,Floor,Price,Dist,Kitsp,Walk,Bal,New,Rooms,lon,Totsp,Nfloors,N,Metrdist,Brick,District,Tel
1,"85,8",55.765853,5,67800000,0.4078308705181054,"11,7",1.0,1.0,0.0,3,37.589734,125,9,1,6,1.0,0,1.0
2,"53,3",55.773768,5,18500000,0.4078308705181054,"8,5",1.0,1.0,0.0,4,37.592482,74,5,2,5,1.0,0,1.0
3,–,55.730892,7,114148980,0.4078308705181054,–,1.0,,0.0,4,37.576726,"138,5",11,3,7,,0,1.0
4,"17,3",55.775753,2,4585315,0.4078308705181054,–,1.0,0.0,,1,37.671938,"17,3",,4,6,,0,
5,10,55.775753,2,4814581,0.4078308705181054,–,1.0,,,1,37.671938,"17,3",5,5,6,1.0,0,
6,"17,3",55.776294,2,4814581,0.4078308705181054,–,1.0,0.0,0.0,1,37.672163,"17,3",6,6,5,1.0,0,0.0
7,"18,1",55.775753,4,5225953,0.4078308705181054,–,1.0,0.0,,1,37.671938,"18,1",,7,6,,0,
8,20,55.730101,1,5300000,0.4078308705181054,7,1.0,,0.0,1,37.673214,32,9,8,4,,0,1.0
9,10,55.775753,5,5377566,0.4078308705181054,–,1.0,,,1,37.671938,"18,3",5,9,6,1.0,0,
10,"23,7",55.776294,2,5496232,0.4078308705181054,–,1.0,0.0,0.0,1,37.672163,"23,7",6,10,5,1.0,0,0.0
11,20,55.775793,1,5550000,0.4078308705181054,"9,6",1.0,1.0,0.0,1,37.689042,"37,4",1,11,10,,0,1.0
12,16,55.756356,3,5900000,0.4078308705181054,6,,1.0,0.0,1,37.522477,30,5,12,,1.0,0,1.0
13,20,55.753387,1,6000000,0.4078308705181054,10,1.0,,0.0,1,37.522998,35,12,13,13,,0,
14,"20,1",55.737988,12,6000000,0.4078308705181054,"9,6",0.0,1.0,0.0,1,37.677301,"35,1",12,14,10,0.0,0,1.0
15,21,55.770613,2,6100000,0.4078308705181054,8,1.0,1.0,0.0,1,37.558796,34,5,15,12,1.0,0,1.0
16,20,55.737988,12,6100000,0.4078308705181054,10,1.0,1.0,0.0,1,37.677301,36,12,16,10,0.0,0,1.0
